Season,Date,Team1,Team2,Venue,City,Toss(Won),Toss(Decision),BatFirst,BowlFirst,SuperOver,Winner,"WonBy(Runs,Wickets)","Won(Toss,Match)",POM
2021,2021-10-15,CSK,KKR,Dubai International Cricket Stadium,Dubai,KKR,field,CSK,KKR,N,CSK,27.0,No,F du Plessis
2021,2021-10-13,DC,KKR,Sharjah Cricket Stadium,Sharjah,KKR,field,DC,KKR,N,KKR,3.0,Yes,VR Iyer
2021,2021-10-11,RCB,KKR,Sharjah Cricket Stadium,Sharjah,RCB,bat,RCB,KKR,N,KKR,4.0,No,SP Narine
2021,2021-10-10,DC,CSK,Dubai International Cricket Stadium,Dubai,CSK,field,DC,CSK,N,CSK,4.0,Yes,RD Gaikwad
2021,2021-10-08,MI,SH,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,MI,bat,MI,SH,N,MI,42.0,Yes,Ishan Kishan
2021,2021-10-08,DC,RCB,Dubai International Cricket Stadium,Dubai,RCB,field,DC,RCB,N,RCB,7.0,Yes,KS Bharat
2021,2021-10-07,KKR,RR,Sharjah Cricket Stadium,Sharjah,RR,field,KKR,RR,N,KKR,86.0,No,Shivam Mavi
2021,2021-10-07,CSK,PK,Dubai International Cricket Stadium,Dubai,PK,field,CSK,PK,N,PK,6.0,Yes,KL Rahul
2021,2021-10-06,SH,RCB,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,RCB,field,SH,RCB,N,SH,4.0,No,KS Williamson
2021,2021-10-05,RR,MI,Sharjah Cricket Stadium,Sharjah,MI,field,RR,MI,N,MI,8.0,Yes,NM Coulter-Nile
2021,2021-10-04,CSK,DC,Dubai International Cricket Stadium,Dubai,DC,field,CSK,DC,N,DC,3.0,Yes,AR Patel
2021,2021-10-03,SH,KKR,Dubai International Cricket Stadium,Dubai,SH,bat,SH,KKR,N,KKR,6.0,No,Shubman Gill
